condition	treatment	dose_uM	n_wells	map_median	mean_mean	mean_se	lower_median	upper_median	contrast_mean	frac_at_lower	frac_at_upper	boundary_flag
treatment	LY411575	8	2	15.15	13.862441713426723	0.19842789343241216	6.6	18.4	0.1544687966686219	0	0	NA
treatment	Pralatrexate	4e-4	3	35	36.12268752366559	0.21687667841442135	29.400000000000002	38	0.1663047084020478	0	0	NA
treatment	Pralatrexate	0.0012	3	35	36.10467410187313	0.038282944463435914	29.5	38	0.16810979869852777	0	0	NA
treatment	Pralatrexate	0.0037	3	34.6	35.52047073862048	0.13658847150885792	26.5	37.7	0.16050439236864633	0	0	NA
treatment	Pralatrexate	0.011	3	35.2	36.337259102943385	0.1472585289836984	30.1	38.1	0.1673787567204996	0	0	NA
treatment	Pralatrexate	0.0329	2	32.1	31.047078024386593	1.2373339045453093	19.65	35.3	0.15174897323650183	0	0	NA
treatment	Pralatrexate	0.0988	3	31.400000000000002	25.960511736995105	4.3401820491682175	12.200000000000001	34.6	0.14107082269590213	0	0	NA
treatment	Pralatrexate	0.2963	3	18.400000000000002	21.447225141805905	3.2009124905536774	7.800000000000001	28.8	0.12460472979158707	0	0	NA
treatment	Pralatrexate	0.8889	3	16.400000000000002	21.460022794116924	5.499496375443721	6.4	21.6	0.14420030739133574	0	0	NA
treatment	Pralatrexate	2.6667	3	30.700000000000003	25.702849678280405	3.2257766444759994	13.8	33.9	0.12538802750423664	0	0	NA
treatment	Pralatrexate	8	3	31.3	26.168280176836124	4.007833624196014	16	34.5	0.13916609280549552	0	0	NA
treatment	SB 271046	4e-4	3	34.9	35.756716502719456	0.12936340233781415	29.1	37.9	0.16580816006305982	0	0	NA
treatment	SB 271046	0.0012	3	35	36.032379834063526	0.19034305410671631	29.6	37.9	0.1663401707706745	0	0	NA
treatment	SB 271046	0.0037	3	34.6	35.33764249765622	0.5563091213145117	27.6	37.7	0.15883385477405756	0	0	NA
treatment	SB 271046	0.011	3	34.6	35.78109512695374	0.3381626423696044	29.400000000000002	37.7	0.1632055022417341	0	0	NA
treatment	SB 271046	0.0329	3	34.9	36.152579012134	0.18285240632151462	29.3	37.9	0.1653645650714628	0	0	NA
treatment	SB 271046	0.0988	3	35	36.529006699495575	0.2324930221028679	30.6	37.9	0.16773301610699734	0	0	NA
treatment	SB 271046	0.2963	3	35.1	36.490832525294685	0.07231452820721604	29.8	38	0.16587221770487198	0	0	NA
treatment	SB 271046	0.8889	3	35.300000000000004	36.49603275131586	0.1799396806855215	30	38.2	0.167288045180795	0	0	NA
treatment	SB 271046	2.6667	3	35	36.465133828405506	0.07575820147336072	29.400000000000002	38	0.16582725093275863	0	0	NA
treatment	SB 271046	8	3	35.1	36.294991363684616	0.15178030868370743	29.6	38.1	0.16609998550479252	0	0	NA
treatment	Z-FA-FMK	4e-4	3	35.2	36.09200941182302	0.17127262708597762	29.400000000000002	38.1	0.1660346251738988	0	0	NA
treatment	Z-FA-FMK	0.0012	3	35.2	36.24184378068594	0.1551313724624071	29.8	38.1	0.16770917994802229	0	0	NA
treatment	Z-FA-FMK	0.0037	3	35	36.22263948348099	0.20032746597674986	29.6	38	0.16721789477378118	0	0	NA
treatment	Z-FA-FMK	0.011	3	35.1	36.15014700582801	0.1746968336666464	29.5	38	0.16690988281916147	0	0	NA
treatment	Z-FA-FMK	0.0329	3	34.9	36.043622453185655	0.07842618469272027	29.3	37.9	0.16570928752491043	0	0	NA
treatment	Z-FA-FMK	0.0988	3	35.1	35.81445044384229	0.4181838836404329	29.400000000000002	38	0.16630015848881083	0	0	NA
treatment	Z-FA-FMK	0.2963	3	34.7	35.62847180873439	0.26951744942717965	28.400000000000002	37.7	0.1626041047450177	0	0	NA
treatment	Z-FA-FMK	0.8889	3	34.9	35.08081340921547	0.8602635502974296	29.3	37.9	0.15886280949672196	0	0	NA
treatment	Z-FA-FMK	2.6667	3	34.5	35.48697696746725	0.04744961618798999	28.5	37.6	0.16192336677511784	0	0	NA
treatment	Z-FA-FMK	8	3	34.9	36.02883581669924	0.209244717431078	29.6	37.9	0.16503954056100612	0	0	NA
treatment	remdesivir	4e-4	3	34.7	35.55314814880137	0.07502909996972473	28.5	37.7	0.16264307236663011	0	0	NA
treatment	remdesivir	0.0012	2	34.75	35.53005001208518	0.23384604685902843	27.700000000000003	37.75	0.16363155241488248	0	0	NA
treatment	remdesivir	0.0037	2	34.8	35.845764696524775	0.1547713203990213	28.4	37.85	0.16303111318865338	0	0	NA
treatment	remdesivir	0.011	3	35.1	36.19023334063834	0.1238125752936362	29.3	38.1	0.16709977257606484	0	0	NA
treatment	remdesivir	0.0329	3	34.7	35.55385796109784	0.348073052696124	28.6	37.7	0.16114966299035455	0	0	NA
treatment	remdesivir	0.0988	1	33.9	34.2625678888595	NA	26.8	37.1	0.1556276102262089	0	0	NA
treatment	remdesivir	0.2963	1	34.9	35.681453380268714	NA	28.8	37.9	0.16510097630994422	0	0	NA
treatment	remdesivir	0.8889	1	34.1	34.71501656124108	NA	28	37.300000000000004	0.1511263720487978	0	0	NA
treatment	remdesivir	2.6667	2	35.1	36.13615228583569	0.05842923647309206	29.550000000000004	38.05	0.1666351162676769	0	0	NA
treatment	remdesivir	8	2	34.900000000000006	35.86049229280599	0.38920429524117134	29.1	37.900000000000006	0.16506474850777617	0	0	NA
