,Image_Metadata_WellID,Image_Metadata_PlateID,ImageNumber,score
1941,A03,DR_20221209_143805,19.0,0.87855446
1942,A03,DR_20221209_143805,20.0,0.5175398
1943,A03,DR_20221209_143805,21.0,0.6763117
1944,A03,DR_20221209_143805,22.0,0.0363788
1945,A03,DR_20221209_143805,23.0,0.7437088
1946,A03,DR_20221209_143805,24.0,0.8489871
1947,A03,DR_20221209_143805,25.0,0.7982952
1948,A03,DR_20221209_143805,26.0,0.78995776
1949,A03,DR_20221209_143805,27.0,0.03784168
1950,A04,DR_20221209_143805,28.0,0.98590845
1951,A04,DR_20221209_143805,29.0,0.9123739
1952,A04,DR_20221209_143805,30.0,0.99816585
1953,A04,DR_20221209_143805,31.0,1.0085099
1954,A04,DR_20221209_143805,32.0,1.0075712
1955,A04,DR_20221209_143805,33.0,1.0009432
1956,A04,DR_20221209_143805,34.0,0.9985757
1957,A04,DR_20221209_143805,35.0,1.001053
1958,A04,DR_20221209_143805,36.0,0.99804586
1959,A05,DR_20221209_143805,37.0,0.9991093
1960,A05,DR_20221209_143805,38.0,0.9992949
1961,A05,DR_20221209_143805,39.0,1.0005646
1962,A05,DR_20221209_143805,40.0,0.9996899
1963,A05,DR_20221209_143805,41.0,0.99857944
1964,A05,DR_20221209_143805,42.0,1.0057638
1965,A05,DR_20221209_143805,43.0,1.0003619
1966,A05,DR_20221209_143805,44.0,1.0014194
1967,A05,DR_20221209_143805,45.0,0.99931675
1968,A06,DR_20221209_143805,46.0,1.0010668
1969,A06,DR_20221209_143805,47.0,1.0003611
1970,A06,DR_20221209_143805,48.0,1.0001212
1971,A06,DR_20221209_143805,49.0,1.0004723
1972,A06,DR_20221209_143805,50.0,1.0045271
1973,A06,DR_20221209_143805,51.0,0.99857205
1974,A06,DR_20221209_143805,52.0,0.99829006
1975,A06,DR_20221209_143805,53.0,0.9978409
1976,A06,DR_20221209_143805,54.0,0.991275
1977,A07,DR_20221209_143805,55.0,0.99918604
1978,A07,DR_20221209_143805,56.0,0.99553317
1979,A07,DR_20221209_143805,57.0,0.99907315
1980,A07,DR_20221209_143805,58.0,0.99911374
1981,A07,DR_20221209_143805,59.0,1.0007368
1982,A07,DR_20221209_143805,60.0,1.0026028
1983,A07,DR_20221209_143805,61.0,0.9982805
1984,A07,DR_20221209_143805,62.0,1.0083879
1985,A07,DR_20221209_143805,63.0,0.9992425
1986,A08,DR_20221209_143805,64.0,1.0033617
1987,A08,DR_20221209_143805,65.0,1.0012367
1988,A08,DR_20221209_143805,66.0,1.0046793
1989,A08,DR_20221209_143805,67.0,1.000101
1990,A08,DR_20221209_143805,68.0,1.0007126
1991,A08,DR_20221209_143805,69.0,0.9999687
1992,A08,DR_20221209_143805,70.0,0.9723637
1993,A08,DR_20221209_143805,71.0,0.99960846
1994,A08,DR_20221209_143805,72.0,0.9969504
1995,A09,DR_20221209_143805,73.0,1.0137299
1996,A09,DR_20221209_143805,74.0,1.0029627
1997,A09,DR_20221209_143805,75.0,1.0065001
1998,A09,DR_20221209_143805,76.0,0.9994274
1999,A09,DR_20221209_143805,77.0,0.9896816
2000,A09,DR_20221209_143805,78.0,1.0001631
2001,A09,DR_20221209_143805,79.0,1.0047375
2002,A09,DR_20221209_143805,80.0,1.0033143
2003,A09,DR_20221209_143805,81.0,0.99908274
2004,A10,DR_20221209_143805,82.0,1.0028313
2005,A10,DR_20221209_143805,83.0,1.0021559
2006,A10,DR_20221209_143805,84.0,0.9992738
2007,A10,DR_20221209_143805,85.0,1.0000842
2008,A10,DR_20221209_143805,86.0,1.0143883
2009,A10,DR_20221209_143805,87.0,0.9939476
2010,A10,DR_20221209_143805,88.0,1.0009527
2011,A10,DR_20221209_143805,89.0,0.99766105
2012,A10,DR_20221209_143805,90.0,1.0002311
2013,A11,DR_20221209_143805,91.0,0.9982225
2014,A11,DR_20221209_143805,92.0,1.0014734
2015,A11,DR_20221209_143805,93.0,1.0001913
2016,A11,DR_20221209_143805,94.0,0.9962463
2017,A11,DR_20221209_143805,95.0,0.999875
2018,A11,DR_20221209_143805,96.0,0.999605
2019,A11,DR_20221209_143805,97.0,1.0023265
2020,A11,DR_20221209_143805,98.0,0.76628375
2021,A11,DR_20221209_143805,99.0,0.95615333
2022,A12,DR_20221209_143805,100.0,1.0037218
