,Image_Metadata_WellID,Image_Metadata_PlateID,ImageNumber,score
1941,A03,DR_20221209_143805,19.0,8.7216766e-05
1942,A03,DR_20221209_143805,20.0,0.00033670003
1943,A03,DR_20221209_143805,21.0,0.89606667
1944,A03,DR_20221209_143805,22.0,0.89777285
1945,A03,DR_20221209_143805,23.0,0.9029701
1946,A03,DR_20221209_143805,24.0,0.9029701
1947,A03,DR_20221209_143805,25.0,0.90195113
1948,A03,DR_20221209_143805,26.0,0.90195113
1949,A03,DR_20221209_143805,27.0,0.9013646
1950,A04,DR_20221209_143805,28.0,1.002999
1951,A04,DR_20221209_143805,29.0,0.27056348
1952,A04,DR_20221209_143805,30.0,1.0005777
1953,A04,DR_20221209_143805,31.0,0.8844646
1954,A04,DR_20221209_143805,32.0,0.9019362
1955,A04,DR_20221209_143805,33.0,0.9085551
1956,A04,DR_20221209_143805,34.0,0.988597
1957,A04,DR_20221209_143805,35.0,0.89933836
1958,A04,DR_20221209_143805,36.0,0.9001934
1959,A05,DR_20221209_143805,37.0,0.2704734
1960,A05,DR_20221209_143805,38.0,0.43681815
1961,A05,DR_20221209_143805,39.0,0.27029133
1962,A05,DR_20221209_143805,40.0,0.43550837
1963,A05,DR_20221209_143805,41.0,0.43681815
1964,A05,DR_20221209_143805,42.0,0.34122914
1965,A05,DR_20221209_143805,43.0,0.9951617
1966,A05,DR_20221209_143805,44.0,0.9010343
1967,A05,DR_20221209_143805,45.0,0.79452944
1968,A06,DR_20221209_143805,46.0,0.2702305
1969,A06,DR_20221209_143805,47.0,0.27111658
1970,A06,DR_20221209_143805,48.0,0.28488597
1971,A06,DR_20221209_143805,49.0,0.2711774
1972,A06,DR_20221209_143805,50.0,0.27029133
1973,A06,DR_20221209_143805,51.0,0.2702305
1974,A06,DR_20221209_143805,52.0,0.2694391
1975,A06,DR_20221209_143805,53.0,0.27113158
1976,A06,DR_20221209_143805,54.0,0.9647218
1977,A07,DR_20221209_143805,55.0,0.98877424
1978,A07,DR_20221209_143805,56.0,0.98816943
1979,A07,DR_20221209_143805,57.0,0.9997344
1980,A07,DR_20221209_143805,58.0,1.0028902
1981,A07,DR_20221209_143805,59.0,0.27022922
1982,A07,DR_20221209_143805,60.0,0.4436671
1983,A07,DR_20221209_143805,61.0,0.98877424
1984,A07,DR_20221209_143805,62.0,1.0028944
1985,A07,DR_20221209_143805,63.0,0.9896603
1986,A08,DR_20221209_143805,64.0,0.27113158
1987,A08,DR_20221209_143805,65.0,1.0036075
1988,A08,DR_20221209_143805,66.0,0.887579
1989,A08,DR_20221209_143805,67.0,1.0038971
1990,A08,DR_20221209_143805,68.0,0.44459453
1991,A08,DR_20221209_143805,69.0,1.0038427
1992,A08,DR_20221209_143805,70.0,0.9784122
1993,A08,DR_20221209_143805,71.0,0.27022472
1994,A08,DR_20221209_143805,72.0,0.4312371
1995,A09,DR_20221209_143805,73.0,1.0029278
1996,A09,DR_20221209_143805,74.0,0.4345908
1997,A09,DR_20221209_143805,75.0,0.9879761
1998,A09,DR_20221209_143805,76.0,0.9000723
1999,A09,DR_20221209_143805,77.0,1.0031666
2000,A09,DR_20221209_143805,78.0,0.9062365
2001,A09,DR_20221209_143805,79.0,0.89319575
2002,A09,DR_20221209_143805,80.0,0.97258943
2003,A09,DR_20221209_143805,81.0,0.97948444
2004,A10,DR_20221209_143805,82.0,0.27113158
2005,A10,DR_20221209_143805,83.0,1.0031666
2006,A10,DR_20221209_143805,84.0,0.8939351
2007,A10,DR_20221209_143805,85.0,0.99940926
2008,A10,DR_20221209_143805,86.0,1.001526
2009,A10,DR_20221209_143805,87.0,1.0031844
2010,A10,DR_20221209_143805,88.0,0.43550837
2011,A10,DR_20221209_143805,89.0,0.2724872
2012,A10,DR_20221209_143805,90.0,0.44459453
2013,A11,DR_20221209_143805,91.0,0.9665805
2014,A11,DR_20221209_143805,92.0,1.0031223
2015,A11,DR_20221209_143805,93.0,0.98906326
2016,A11,DR_20221209_143805,94.0,0.9061201
2017,A11,DR_20221209_143805,95.0,1.0035118
2018,A11,DR_20221209_143805,96.0,1.0008166
2019,A11,DR_20221209_143805,97.0,0.73566586
2020,A11,DR_20221209_143805,98.0,1.0221229
2021,A11,DR_20221209_143805,99.0,0.9667508
2022,A12,DR_20221209_143805,100.0,0.44391295
2023,A12,DR_20221209_143805,101.0,0.8953953
2024,A12,DR_20221209_143805,102.0,0.954628
2025,A12,DR_20221209_143805,103.0,0.90625733
2026,A12,DR_20221209_143805,104.0,0.9068582
2027,A12,DR_20221209_143805,105.0,0.44459453
2028,A12,DR_20221209_143805,106.0,0.8799822
2029,A12,DR_20221209_143805,107.0,0.89267904
2030,A12,DR_20221209_143805,108.0,0.98415345
2031,A13,DR_20221209_143805,109.0,0.83736396
2032,A13,DR_20221209_143805,110.0,0.8970769
2033,A13,DR_20221209_143805,111.0,1.0311753
2034,A13,DR_20221209_143805,112.0,1.0028902
2035,A13,DR_20221209_143805,113.0,1.0012746
2036,A13,DR_20221209_143805,114.0,1.0052481
2037,A13,DR_20221209_143805,115.0,0.98983127
2038,A13,DR_20221209_143805,116.0,1.0028902
2039,A13,DR_20221209_143805,117.0,0.9816803
2040,A14,DR_20221209_143805,118.0,0.98962677
2041,A14,DR_20221209_143805,119.0,0.9000723
2042,A14,DR_20221209_143805,120.0,0.8375766
2043,A14,DR_20221209_143805,121.0,0.9881359
2044,A14,DR_20221209_143805,122.0,0.898063
2045,A14,DR_20221209_143805,123.0,1.000612
2046,A14,DR_20221209_143805,124.0,0.73614585
