,Image_Metadata_WellID,Image_Metadata_PlateID,ImageNumber,score
1941,A03,DR_20221209_143805,19.0,0.12293514
1942,A03,DR_20221209_143805,20.0,0.46851802
1943,A03,DR_20221209_143805,21.0,0.20655288
1944,A03,DR_20221209_143805,22.0,0.06336031
1945,A03,DR_20221209_143805,23.0,0.005328484
1946,A03,DR_20221209_143805,24.0,-0.06582633
1947,A03,DR_20221209_143805,25.0,-0.054070298
1948,A03,DR_20221209_143805,26.0,-0.09940722
1949,A03,DR_20221209_143805,27.0,-0.0034838
1950,A04,DR_20221209_143805,28.0,0.016537338
1951,A04,DR_20221209_143805,29.0,0.18740779
1952,A04,DR_20221209_143805,30.0,-0.008935426
1953,A04,DR_20221209_143805,31.0,0.052745312
1954,A04,DR_20221209_143805,32.0,-0.010604217
1955,A04,DR_20221209_143805,33.0,0.1045668
1956,A04,DR_20221209_143805,34.0,-0.049636487
1957,A04,DR_20221209_143805,35.0,-0.05870419
1958,A04,DR_20221209_143805,36.0,-0.016138555
1959,A05,DR_20221209_143805,37.0,0.009698393
1960,A05,DR_20221209_143805,38.0,-0.076319315
1961,A05,DR_20221209_143805,39.0,-0.021615861
1962,A05,DR_20221209_143805,40.0,-0.00376418
1963,A05,DR_20221209_143805,41.0,-0.03500627
1964,A05,DR_20221209_143805,42.0,-0.006339711
1965,A05,DR_20221209_143805,43.0,-0.0006435952
1966,A05,DR_20221209_143805,44.0,0.009293194
1967,A05,DR_20221209_143805,45.0,0.008473191
1968,A06,DR_20221209_143805,46.0,-0.016908424
1969,A06,DR_20221209_143805,47.0,-0.019968754
1970,A06,DR_20221209_143805,48.0,0.18232168
1971,A06,DR_20221209_143805,49.0,-0.0060562324
1972,A06,DR_20221209_143805,50.0,0.013985423
1973,A06,DR_20221209_143805,51.0,-0.005545563
1974,A06,DR_20221209_143805,52.0,-0.02971908
1975,A06,DR_20221209_143805,53.0,-0.024135971
1976,A06,DR_20221209_143805,54.0,0.004573235
1977,A07,DR_20221209_143805,55.0,-0.0038150798
1978,A07,DR_20221209_143805,56.0,-0.0034099326
1979,A07,DR_20221209_143805,57.0,0.009128123
