,Image_Metadata_WellID,Image_Metadata_PlateID,ImageNumber,score
1941,A03,DR_20221209_143805,19.0,0.0078081214
1942,A03,DR_20221209_143805,20.0,0.0040804413
1943,A03,DR_20221209_143805,21.0,0.9797977
1944,A03,DR_20221209_143805,22.0,0.999321
1945,A03,DR_20221209_143805,23.0,0.99924916
1946,A03,DR_20221209_143805,24.0,0.99998313
1947,A03,DR_20221209_143805,25.0,0.97845566
1948,A03,DR_20221209_143805,26.0,0.9782566
1949,A03,DR_20221209_143805,27.0,1.0003412
1950,A04,DR_20221209_143805,28.0,0.9996534
1951,A04,DR_20221209_143805,29.0,0.9993386
1952,A04,DR_20221209_143805,30.0,1.0111971
1953,A04,DR_20221209_143805,31.0,1.0000287
1954,A04,DR_20221209_143805,32.0,0.99949783
1955,A04,DR_20221209_143805,33.0,0.9998382
1956,A04,DR_20221209_143805,34.0,0.99985117
1957,A04,DR_20221209_143805,35.0,0.9993401
1958,A04,DR_20221209_143805,36.0,0.99993914
1959,A05,DR_20221209_143805,37.0,1.0001348
1960,A05,DR_20221209_143805,38.0,1.0000715
1961,A05,DR_20221209_143805,39.0,0.9996253
1962,A05,DR_20221209_143805,40.0,0.99955547
1963,A05,DR_20221209_143805,41.0,1.0002594
1964,A05,DR_20221209_143805,42.0,0.99973553
1965,A05,DR_20221209_143805,43.0,1.0000799
1966,A05,DR_20221209_143805,44.0,1.0000635
1967,A05,DR_20221209_143805,45.0,0.999928
1968,A06,DR_20221209_143805,46.0,0.9998683
1969,A06,DR_20221209_143805,47.0,1.0001222
1970,A06,DR_20221209_143805,48.0,0.9999031
1971,A06,DR_20221209_143805,49.0,1.0000429
1972,A06,DR_20221209_143805,50.0,1.0002594
1973,A06,DR_20221209_143805,51.0,1.0002594
1974,A06,DR_20221209_143805,52.0,0.9999627
1975,A06,DR_20221209_143805,53.0,0.99980485
1976,A06,DR_20221209_143805,54.0,1.0000135
1977,A07,DR_20221209_143805,55.0,1.000113
1978,A07,DR_20221209_143805,56.0,1.0000656
1979,A07,DR_20221209_143805,57.0,1.000056
1980,A07,DR_20221209_143805,58.0,0.99994725
1981,A07,DR_20221209_143805,59.0,0.99949473
1982,A07,DR_20221209_143805,60.0,1.0002292
1983,A07,DR_20221209_143805,61.0,1.0001252
1984,A07,DR_20221209_143805,62.0,1.0001433
1985,A07,DR_20221209_143805,63.0,1.0000529
1986,A08,DR_20221209_143805,64.0,1.0001655
1987,A08,DR_20221209_143805,65.0,1.0002995
1988,A08,DR_20221209_143805,66.0,1.0000229
1989,A08,DR_20221209_143805,67.0,1.0001427
1990,A08,DR_20221209_143805,68.0,1.0002594
1991,A08,DR_20221209_143805,69.0,1.0001897
1992,A08,DR_20221209_143805,70.0,1.0002153
1993,A08,DR_20221209_143805,71.0,0.9993754
1994,A08,DR_20221209_143805,72.0,1.0001775
1995,A09,DR_20221209_143805,73.0,1.0004071
1996,A09,DR_20221209_143805,74.0,1.0001205
1997,A09,DR_20221209_143805,75.0,0.9999467
1998,A09,DR_20221209_143805,76.0,1.0001963
1999,A09,DR_20221209_143805,77.0,0.9969384
2000,A09,DR_20221209_143805,78.0,1.0001463
2001,A09,DR_20221209_143805,79.0,0.997742
2002,A09,DR_20221209_143805,80.0,1.0001012
2003,A09,DR_20221209_143805,81.0,1.0000386
2004,A10,DR_20221209_143805,82.0,0.99982715
2005,A10,DR_20221209_143805,83.0,0.9996502
2006,A10,DR_20221209_143805,84.0,1.0000114
2007,A10,DR_20221209_143805,85.0,0.9979073
2008,A10,DR_20221209_143805,86.0,0.9970874
2009,A10,DR_20221209_143805,87.0,1.0001348
2010,A10,DR_20221209_143805,88.0,1.000031
2011,A10,DR_20221209_143805,89.0,0.99935395
2012,A10,DR_20221209_143805,90.0,1.000106
2013,A11,DR_20221209_143805,91.0,1.0001726
2014,A11,DR_20221209_143805,92.0,1.0001701
2015,A11,DR_20221209_143805,93.0,1.000281
2016,A11,DR_20221209_143805,94.0,1.0000516
2017,A11,DR_20221209_143805,95.0,1.0001017
2018,A11,DR_20221209_143805,96.0,1.0003315
2019,A11,DR_20221209_143805,97.0,1.0000821
2020,A11,DR_20221209_143805,98.0,0.99306273
2021,A11,DR_20221209_143805,99.0,1.0000744
2022,A12,DR_20221209_143805,100.0,1.0001205
2023,A12,DR_20221209_143805,101.0,1.0001252
2024,A12,DR_20221209_143805,102.0,0.99817365
2025,A12,DR_20221209_143805,103.0,0.9999033
2026,A12,DR_20221209_143805,104.0,1.0001341
2027,A12,DR_20221209_143805,105.0,1.0002594
2028,A12,DR_20221209_143805,106.0,1.0001252
2029,A12,DR_20221209_143805,107.0,1.000578
2030,A12,DR_20221209_143805,108.0,0.9999873
2031,A13,DR_20221209_143805,109.0,1.0000263
2032,A13,DR_20221209_143805,110.0,1.0001252
2033,A13,DR_20221209_143805,111.0,1.0001805
2034,A13,DR_20221209_143805,112.0,1.0000458
2035,A13,DR_20221209_143805,113.0,1.0001341
2036,A13,DR_20221209_143805,114.0,1.0000618
2037,A13,DR_20221209_143805,115.0,1.0002044
2038,A13,DR_20221209_143805,116.0,1.0000618
2039,A13,DR_20221209_143805,117.0,1.0000153
2040,A14,DR_20221209_143805,118.0,1.000262
2041,A14,DR_20221209_143805,119.0,0.9997398
2042,A14,DR_20221209_143805,120.0,1.0003301
2043,A14,DR_20221209_143805,121.0,1.0001177
2044,A14,DR_20221209_143805,122.0,0.99997675
2045,A14,DR_20221209_143805,123.0,1.0001897
2046,A14,DR_20221209_143805,124.0,1.0001202
2047,A14,DR_20221209_143805,125.0,0.99875
2048,A14,DR_20221209_143805,126.0,0.99988115
2049,A15,DR_20221209_143805,127.0,1.000165
2050,A15,DR_20221209_143805,128.0,1.0001252
2051,A15,DR_20221209_143805,129.0,1.000056
2052,A15,DR_20221209_143805,130.0,0.99995023
2053,A15,DR_20221209_143805,131.0,1.0002594
2054,A15,DR_20221209_143805,132.0,1.0002594
2055,A15,DR_20221209_143805,133.0,1.0000799
2056,A15,DR_20221209_143805,134.0,0.9995544
2057,A15,DR_20221209_143805,135.0,0.99989223
2058,A16,DR_20221209_143805,136.0,0.99922985
2059,A16,DR_20221209_143805,137.0,0.9978772
2060,A16,DR_20221209_143805,138.0,0.9997749
2061,A16,DR_20221209_143805,139.0,1.0001123
2062,A16,DR_20221209_143805,140.0,1.0002594
2063,A16,DR_20221209_143805,141.0,1.0001897
2064,A16,DR_20221209_143805,142.0,1.0001857
2065,A16,DR_20221209_143805,143.0,1.000095
2066,A16,DR_20221209_143805,144.0,1.0000086
2067,A17,DR_20221209_143805,145.0,1.0000795
2068,A17,DR_20221209_143805,146.0,0.9999756
2069,A17,DR_20221209_143805,147.0,0.99986815
2070,A17,DR_20221209_143805,148.0,1.0000142
2071,A17,DR_20221209_143805,149.0,1.0023223
2072,A17,DR_20221209_143805,150.0,1.0002371
2073,A17,DR_20221209_143805,151.0,1.0004586
2074,A17,DR_20221209_143805,152.0,1.0001252
2075,A17,DR_20221209_143805,153.0,1.0022186
2076,A18,DR_20221209_143805,154.0,1.0000302
2077,A18,DR_20221209_143805,155.0,1.0030323
2078,A18,DR_20221209_143805,156.0,1.0000429
2079,A18,DR_20221209_143805,157.0,0.9978542
2080,A18,DR_20221209_143805,158.0,1.000148
2081,A18,DR_20221209_143805,159.0,1.0003315
2082,A18,DR_20221209_143805,160.0,1.0001719
2083,A18,DR_20221209_143805,161.0,0.99053895
2084,A18,DR_20221209_143805,162.0,0.99990803
2085,A19,DR_20221209_143805,163.0,0.99903524
2086,A19,DR_20221209_143805,164.0,1.0007203
2087,A19,DR_20221209_143805,165.0,1.0001458
2088,A19,DR_20221209_143805,166.0,1.0000991
2089,A19,DR_20221209_143805,167.0,0.9985798
2090,A19,DR_20221209_143805,168.0,1.0001897
2091,A19,DR_20221209_143805,169.0,0.99423003
2092,A19,DR_20221209_143805,170.0,0.99777347
2093,A19,DR_20221209_143805,171.0,0.999692
2094,A20,DR_20221209_143805,172.0,1.0002594
2095,A20,DR_20221209_143805,173.0,0.9999264
2096,A20,DR_20221209_143805,174.0,1.0000167
2097,A20,DR_20221209_143805,175.0,1.0000855
2098,A20,DR_20221209_143805,176.0,1.0002594
2099,A20,DR_20221209_143805,177.0,1.0001897
2100,A20,DR_20221209_143805,178.0,1.0002714
2101,A20,DR_20221209_143805,179.0,0.99905753
2102,A20,DR_20221209_143805,180.0,0.999973
2103,A21,DR_20221209_143805,181.0,1.0000055
