,Image_Metadata_WellID,Image_Metadata_PlateID,ImageNumber,score
1941,A03,DR_20221209_143805,19.0,-0.007204015
1942,A03,DR_20221209_143805,20.0,0.19349936
1943,A03,DR_20221209_143805,21.0,0.6771575
1944,A03,DR_20221209_143805,22.0,0.41164657
1945,A03,DR_20221209_143805,23.0,0.37413365
1946,A03,DR_20221209_143805,24.0,0.5056538
1947,A03,DR_20221209_143805,25.0,0.36043647
1948,A03,DR_20221209_143805,26.0,0.38644043
1949,A03,DR_20221209_143805,27.0,0.20111087
1950,A04,DR_20221209_143805,28.0,0.5058987
1951,A04,DR_20221209_143805,29.0,0.942934
1952,A04,DR_20221209_143805,30.0,0.16716847
1953,A04,DR_20221209_143805,31.0,0.49577314
1954,A04,DR_20221209_143805,32.0,0.54365313
1955,A04,DR_20221209_143805,33.0,0.44212076
1956,A04,DR_20221209_143805,34.0,0.6755521
1957,A04,DR_20221209_143805,35.0,0.17761627
1958,A04,DR_20221209_143805,36.0,0.24447575
1959,A05,DR_20221209_143805,37.0,0.9936676
1960,A05,DR_20221209_143805,38.0,0.22192201
1961,A05,DR_20221209_143805,39.0,0.5412922
1962,A05,DR_20221209_143805,40.0,0.9752419
1963,A05,DR_20221209_143805,41.0,0.81821066
1964,A05,DR_20221209_143805,42.0,0.6132974
1965,A05,DR_20221209_143805,43.0,1.008987
1966,A05,DR_20221209_143805,44.0,0.40229204
1967,A05,DR_20221209_143805,45.0,0.8595034
1968,A06,DR_20221209_143805,46.0,0.8005212
1969,A06,DR_20221209_143805,47.0,1.053535
1970,A06,DR_20221209_143805,48.0,0.95129466
1971,A06,DR_20221209_143805,49.0,0.8768048
1972,A06,DR_20221209_143805,50.0,0.9384465
1973,A06,DR_20221209_143805,51.0,1.185935
1974,A06,DR_20221209_143805,52.0,0.7811272
1975,A06,DR_20221209_143805,53.0,0.7453565
1976,A06,DR_20221209_143805,54.0,1.0441414
1977,A07,DR_20221209_143805,55.0,0.99747366
1978,A07,DR_20221209_143805,56.0,1.0266625
1979,A07,DR_20221209_143805,57.0,0.91553396
1980,A07,DR_20221209_143805,58.0,0.5358256
1981,A07,DR_20221209_143805,59.0,0.9898591
1982,A07,DR_20221209_143805,60.0,0.94051635
1983,A07,DR_20221209_143805,61.0,0.982772
1984,A07,DR_20221209_143805,62.0,1.0165386
1985,A07,DR_20221209_143805,63.0,0.95665
1986,A08,DR_20221209_143805,64.0,1.0269177
1987,A08,DR_20221209_143805,65.0,0.6130755
1988,A08,DR_20221209_143805,66.0,1.0266683
1989,A08,DR_20221209_143805,67.0,0.93664116
1990,A08,DR_20221209_143805,68.0,1.0110803
1991,A08,DR_20221209_143805,69.0,1.0091159
1992,A08,DR_20221209_143805,70.0,1.1251853
1993,A08,DR_20221209_143805,71.0,1.1487211
1994,A08,DR_20221209_143805,72.0,0.95524853
1995,A09,DR_20221209_143805,73.0,1.0694557
1996,A09,DR_20221209_143805,74.0,0.9655368
1997,A09,DR_20221209_143805,75.0,1.091641
1998,A09,DR_20221209_143805,76.0,0.2750711
1999,A09,DR_20221209_143805,77.0,0.5358359
2000,A09,DR_20221209_143805,78.0,0.8542153
2001,A09,DR_20221209_143805,79.0,0.367818
2002,A09,DR_20221209_143805,80.0,0.96525365
2003,A09,DR_20221209_143805,81.0,0.6924278
2004,A10,DR_20221209_143805,82.0,0.9731289
2005,A10,DR_20221209_143805,83.0,1.0054152
2006,A10,DR_20221209_143805,84.0,0.9107337
2007,A10,DR_20221209_143805,85.0,0.29959178
2008,A10,DR_20221209_143805,86.0,0.16626754
2009,A10,DR_20221209_143805,87.0,0.86582613
2010,A10,DR_20221209_143805,88.0,1.1510193
2011,A10,DR_20221209_143805,89.0,0.84567934
2012,A10,DR_20221209_143805,90.0,1.030547
2013,A11,DR_20221209_143805,91.0,1.0559723
2014,A11,DR_20221209_143805,92.0,0.47063044
2015,A11,DR_20221209_143805,93.0,1.1144851
2016,A11,DR_20221209_143805,94.0,0.34352332
2017,A11,DR_20221209_143805,95.0,0.40863073
2018,A11,DR_20221209_143805,96.0,1.1459241
2019,A11,DR_20221209_143805,97.0,0.92953944
2020,A11,DR_20221209_143805,98.0,0.24480227
2021,A11,DR_20221209_143805,99.0,0.10477269
2022,A12,DR_20221209_143805,100.0,1.0833548
