,Image_Metadata_WellID,Image_Metadata_PlateID,ImageNumber,score
1941,A03,DR_20221209_143805,19.0,-0.0014523187
1942,A03,DR_20221209_143805,20.0,0.001299804
1943,A03,DR_20221209_143805,21.0,0.06159682
1944,A03,DR_20221209_143805,22.0,0.9239722
1945,A03,DR_20221209_143805,23.0,0.26622704
1946,A03,DR_20221209_143805,24.0,0.13168868
1947,A03,DR_20221209_143805,25.0,0.932964
1948,A03,DR_20221209_143805,26.0,0.81073236
1949,A03,DR_20221209_143805,27.0,0.9259372
1950,A04,DR_20221209_143805,28.0,0.94142896
1951,A04,DR_20221209_143805,29.0,0.8379365
1952,A04,DR_20221209_143805,30.0,0.91051495
1953,A04,DR_20221209_143805,31.0,0.923643
1954,A04,DR_20221209_143805,32.0,0.90929306
1955,A04,DR_20221209_143805,33.0,0.92109954
1956,A04,DR_20221209_143805,34.0,1.0013542
1957,A04,DR_20221209_143805,35.0,0.9057959
1958,A04,DR_20221209_143805,36.0,0.9140144
1959,A05,DR_20221209_143805,37.0,0.97187203
1960,A05,DR_20221209_143805,38.0,0.9454546
1961,A05,DR_20221209_143805,39.0,0.94537586
1962,A05,DR_20221209_143805,40.0,0.74239373
1963,A05,DR_20221209_143805,41.0,0.9529379
1964,A05,DR_20221209_143805,42.0,0.9874274
1965,A05,DR_20221209_143805,43.0,0.98679584
1966,A05,DR_20221209_143805,44.0,0.98134327
1967,A05,DR_20221209_143805,45.0,0.9618911
1968,A06,DR_20221209_143805,46.0,0.96635604
1969,A06,DR_20221209_143805,47.0,0.9498403
1970,A06,DR_20221209_143805,48.0,0.9245722
1971,A06,DR_20221209_143805,49.0,0.7559273
1972,A06,DR_20221209_143805,50.0,0.93888175
1973,A06,DR_20221209_143805,51.0,0.98711884
1974,A06,DR_20221209_143805,52.0,0.49180242
1975,A06,DR_20221209_143805,53.0,0.87328094
1976,A06,DR_20221209_143805,54.0,0.9897602
1977,A07,DR_20221209_143805,55.0,0.9056616
1978,A07,DR_20221209_143805,56.0,1.0159948
1979,A07,DR_20221209_143805,57.0,1.0067879
1980,A07,DR_20221209_143805,58.0,1.008178
1981,A07,DR_20221209_143805,59.0,0.94581777
1982,A07,DR_20221209_143805,60.0,0.94430244
1983,A07,DR_20221209_143805,61.0,0.73159105
1984,A07,DR_20221209_143805,62.0,0.94401896
1985,A07,DR_20221209_143805,63.0,0.99333966
1986,A08,DR_20221209_143805,64.0,0.9844657
1987,A08,DR_20221209_143805,65.0,1.0059116
1988,A08,DR_20221209_143805,66.0,0.9470468
1989,A08,DR_20221209_143805,67.0,1.0080745
1990,A08,DR_20221209_143805,68.0,0.9508604
1991,A08,DR_20221209_143805,69.0,0.9931318
1992,A08,DR_20221209_143805,70.0,0.9334994
1993,A08,DR_20221209_143805,71.0,0.31952277
1994,A08,DR_20221209_143805,72.0,0.9226525
1995,A09,DR_20221209_143805,73.0,0.93452805
1996,A09,DR_20221209_143805,74.0,1.0073997
1997,A09,DR_20221209_143805,75.0,0.77315074
1998,A09,DR_20221209_143805,76.0,0.9929411
1999,A09,DR_20221209_143805,77.0,1.0021753
2000,A09,DR_20221209_143805,78.0,1.0014356
2001,A09,DR_20221209_143805,79.0,1.0137755
2002,A09,DR_20221209_143805,80.0,0.9688219
2003,A09,DR_20221209_143805,81.0,0.9195268
2004,A10,DR_20221209_143805,82.0,0.9200239
2005,A10,DR_20221209_143805,83.0,0.9508568
2006,A10,DR_20221209_143805,84.0,0.99598676
2007,A10,DR_20221209_143805,85.0,1.0001229
2008,A10,DR_20221209_143805,86.0,1.0012703
2009,A10,DR_20221209_143805,87.0,0.8889403
2010,A10,DR_20221209_143805,88.0,0.9195061
2011,A10,DR_20221209_143805,89.0,0.945491
2012,A10,DR_20221209_143805,90.0,0.75952923
2013,A11,DR_20221209_143805,91.0,0.73950213
2014,A11,DR_20221209_143805,92.0,1.0023412
2015,A11,DR_20221209_143805,93.0,1.008109
2016,A11,DR_20221209_143805,94.0,1.0098102
2017,A11,DR_20221209_143805,95.0,0.99989986
2018,A11,DR_20221209_143805,96.0,0.9877922
2019,A11,DR_20221209_143805,97.0,1.0041568
