,Image_Metadata_WellID,Image_Metadata_PlateID,ImageNumber,score
1941,A03,DR_20221209_143805,19.0,0.011571209
1942,A03,DR_20221209_143805,20.0,-0.0021184215
1943,A03,DR_20221209_143805,21.0,0.3518381
1944,A03,DR_20221209_143805,22.0,0.26499972
1945,A03,DR_20221209_143805,23.0,0.44871372
1946,A03,DR_20221209_143805,24.0,0.055399314
1947,A03,DR_20221209_143805,25.0,0.2879367
1948,A03,DR_20221209_143805,26.0,0.06698431
1949,A03,DR_20221209_143805,27.0,0.43337095
1950,A04,DR_20221209_143805,28.0,0.6566251
1951,A04,DR_20221209_143805,29.0,1.0783927
1952,A04,DR_20221209_143805,30.0,1.0191826
1953,A04,DR_20221209_143805,31.0,1.058494
1954,A04,DR_20221209_143805,32.0,1.0091046
1955,A04,DR_20221209_143805,33.0,1.028535
1956,A04,DR_20221209_143805,34.0,0.98651385
1957,A04,DR_20221209_143805,35.0,0.9987055
1958,A04,DR_20221209_143805,36.0,0.9923747
1959,A05,DR_20221209_143805,37.0,0.985681
1960,A05,DR_20221209_143805,38.0,0.9933534
1961,A05,DR_20221209_143805,39.0,1.0199304
1962,A05,DR_20221209_143805,40.0,1.0007718
1963,A05,DR_20221209_143805,41.0,0.9810285
1964,A05,DR_20221209_143805,42.0,0.9944814
1965,A05,DR_20221209_143805,43.0,1.0039686
1966,A05,DR_20221209_143805,44.0,0.9959743
1967,A05,DR_20221209_143805,45.0,0.9705349
1968,A06,DR_20221209_143805,46.0,0.9945912
1969,A06,DR_20221209_143805,47.0,0.9923872
1970,A06,DR_20221209_143805,48.0,1.0090489
1971,A06,DR_20221209_143805,49.0,1.0296829
1972,A06,DR_20221209_143805,50.0,1.0050856
1973,A06,DR_20221209_143805,51.0,1.0134845
1974,A06,DR_20221209_143805,52.0,1.0023766
1975,A06,DR_20221209_143805,53.0,0.9957624
1976,A06,DR_20221209_143805,54.0,0.98001516
1977,A07,DR_20221209_143805,55.0,0.99055165
1978,A07,DR_20221209_143805,56.0,1.0003015
1979,A07,DR_20221209_143805,57.0,0.9985433
1980,A07,DR_20221209_143805,58.0,1.0096112
1981,A07,DR_20221209_143805,59.0,0.97260207
1982,A07,DR_20221209_143805,60.0,1.0016187
1983,A07,DR_20221209_143805,61.0,0.9968498
1984,A07,DR_20221209_143805,62.0,1.0050113
1985,A07,DR_20221209_143805,63.0,1.0290056
1986,A08,DR_20221209_143805,64.0,1.0170317
1987,A08,DR_20221209_143805,65.0,1.0224109
1988,A08,DR_20221209_143805,66.0,1.01211
1989,A08,DR_20221209_143805,67.0,0.993181
1990,A08,DR_20221209_143805,68.0,1.0016761
1991,A08,DR_20221209_143805,69.0,0.99139166
1992,A08,DR_20221209_143805,70.0,0.9944023
1993,A08,DR_20221209_143805,71.0,0.99445635
1994,A08,DR_20221209_143805,72.0,0.98597234
1995,A09,DR_20221209_143805,73.0,0.9988302
1996,A09,DR_20221209_143805,74.0,0.9884147
1997,A09,DR_20221209_143805,75.0,0.9964871
1998,A09,DR_20221209_143805,76.0,0.99982136
1999,A09,DR_20221209_143805,77.0,0.96777296
2000,A09,DR_20221209_143805,78.0,0.99646
2001,A09,DR_20221209_143805,79.0,0.9965922
2002,A09,DR_20221209_143805,80.0,1.0055943
2003,A09,DR_20221209_143805,81.0,1.0031159
2004,A10,DR_20221209_143805,82.0,1.0157359
2005,A10,DR_20221209_143805,83.0,0.97685134
2006,A10,DR_20221209_143805,84.0,1.0449473
2007,A10,DR_20221209_143805,85.0,1.0064616
2008,A10,DR_20221209_143805,86.0,1.0788084
2009,A10,DR_20221209_143805,87.0,0.99087524
2010,A10,DR_20221209_143805,88.0,0.99418664
2011,A10,DR_20221209_143805,89.0,1.058505
2012,A10,DR_20221209_143805,90.0,1.0293492
2013,A11,DR_20221209_143805,91.0,0.9888415
2014,A11,DR_20221209_143805,92.0,0.9933406
2015,A11,DR_20221209_143805,93.0,0.9881813
2016,A11,DR_20221209_143805,94.0,1.0018144
2017,A11,DR_20221209_143805,95.0,0.985283
2018,A11,DR_20221209_143805,96.0,0.99621934
2019,A11,DR_20221209_143805,97.0,0.98370224
2020,A11,DR_20221209_143805,98.0,0.9808817
2021,A11,DR_20221209_143805,99.0,0.9989102
2022,A12,DR_20221209_143805,100.0,0.9917675
2023,A12,DR_20221209_143805,101.0,1.0005901
2024,A12,DR_20221209_143805,102.0,0.97854525
2025,A12,DR_20221209_143805,103.0,1.0250899
2026,A12,DR_20221209_143805,104.0,1.0068532
2027,A12,DR_20221209_143805,105.0,1.0130944
2028,A12,DR_20221209_143805,106.0,0.98916775
2029,A12,DR_20221209_143805,107.0,1.0149977
2030,A12,DR_20221209_143805,108.0,1.0022919
2031,A13,DR_20221209_143805,109.0,0.9855417
