,Image_Metadata_WellID,Image_Metadata_PlateID,ImageNumber,score
1941,A03,DR_20221209_143805,19.0,0.5820665
1942,A03,DR_20221209_143805,20.0,0.47391587
1943,A03,DR_20221209_143805,21.0,0.033935342
1944,A03,DR_20221209_143805,22.0,-0.015114308
1945,A03,DR_20221209_143805,23.0,0.038336076
1946,A03,DR_20221209_143805,24.0,-0.011858985
1947,A03,DR_20221209_143805,25.0,0.15861209
1948,A03,DR_20221209_143805,26.0,0.1513418
1949,A03,DR_20221209_143805,27.0,-0.009839088
1950,A04,DR_20221209_143805,28.0,0.00017150339
1951,A04,DR_20221209_143805,29.0,0.019890511
1952,A04,DR_20221209_143805,30.0,-0.017745001
1953,A04,DR_20221209_143805,31.0,-0.04209419
1954,A04,DR_20221209_143805,32.0,0.29182947
1955,A04,DR_20221209_143805,33.0,0.035150412
1956,A04,DR_20221209_143805,34.0,-0.0006202639
1957,A04,DR_20221209_143805,35.0,0.013149409
1958,A04,DR_20221209_143805,36.0,-0.019133247
1959,A05,DR_20221209_143805,37.0,-0.010636554
1960,A05,DR_20221209_143805,38.0,0.029310696
1961,A05,DR_20221209_143805,39.0,0.0565295
1962,A05,DR_20221209_143805,40.0,0.01663668
1963,A05,DR_20221209_143805,41.0,-0.008262949
1964,A05,DR_20221209_143805,42.0,0.09501141
1965,A05,DR_20221209_143805,43.0,0.01661775
1966,A05,DR_20221209_143805,44.0,0.0010290585
1967,A05,DR_20221209_143805,45.0,0.09373599
1968,A06,DR_20221209_143805,46.0,0.020559648
1969,A06,DR_20221209_143805,47.0,0.0041180733
1970,A06,DR_20221209_143805,48.0,0.004135514
1971,A06,DR_20221209_143805,49.0,0.01337693
1972,A06,DR_20221209_143805,50.0,-0.017889114
1973,A06,DR_20221209_143805,51.0,-0.006118938
1974,A06,DR_20221209_143805,52.0,0.015091381
1975,A06,DR_20221209_143805,53.0,0.02324282
1976,A06,DR_20221209_143805,54.0,-0.009233981
1977,A07,DR_20221209_143805,55.0,-0.0076231617
1978,A07,DR_20221209_143805,56.0,0.0053087543
1979,A07,DR_20221209_143805,57.0,-0.0017935535
1980,A07,DR_20221209_143805,58.0,0.021908762
1981,A07,DR_20221209_143805,59.0,-0.09992956
1982,A07,DR_20221209_143805,60.0,0.0151006915
1983,A07,DR_20221209_143805,61.0,-0.037127007
1984,A07,DR_20221209_143805,62.0,-0.003655592
1985,A07,DR_20221209_143805,63.0,0.0077925907
1986,A08,DR_20221209_143805,64.0,0.0033948012
1987,A08,DR_20221209_143805,65.0,-0.013713719
1988,A08,DR_20221209_143805,66.0,-0.022117892
1989,A08,DR_20221209_143805,67.0,-0.022773772
1990,A08,DR_20221209_143805,68.0,0.013300763
1991,A08,DR_20221209_143805,69.0,-0.0039089313
1992,A08,DR_20221209_143805,70.0,-0.020970192
1993,A08,DR_20221209_143805,71.0,-0.0404887
1994,A08,DR_20221209_143805,72.0,0.0015229869
1995,A09,DR_20221209_143805,73.0,-0.0087796515
1996,A09,DR_20221209_143805,74.0,0.01317011
1997,A09,DR_20221209_143805,75.0,-0.011768156
1998,A09,DR_20221209_143805,76.0,0.018724838
1999,A09,DR_20221209_143805,77.0,0.003082529
2000,A09,DR_20221209_143805,78.0,0.007772278
2001,A09,DR_20221209_143805,79.0,-0.030631829
2002,A09,DR_20221209_143805,80.0,0.0044176327
2003,A09,DR_20221209_143805,81.0,0.015139389
2004,A10,DR_20221209_143805,82.0,0.03488654
2005,A10,DR_20221209_143805,83.0,0.0021204296
