PlateID,row,column,time_point_h,condition,treatment,dose_uM
DR_20221209_143805,5,12,48,treatment,Pralatrexate,0.0004
DR_20221209_143805,5,13,48,treatment,GW4064,8
DR_20221209_143805,5,14,48,treatment,GW4064,2.6667
DR_20221209_143805,5,15,48,treatment,GW4064,0.8889
DR_20221209_143805,5,16,48,treatment,GW4064,0.2963
DR_20221209_143805,5,17,48,treatment,GW4064,0.0988
DR_20221209_143805,5,18,48,treatment,GW4064,0.0329
DR_20221209_143805,5,19,48,treatment,GW4064,0.011
DR_20221209_143805,5,20,48,treatment,GW4064,0.0037
DR_20221209_143805,5,21,48,treatment,GW4064,0.0012
DR_20221209_143805,5,22,48,treatment,GW4064,0.0004
DR_20221209_143805,5,23,48,PC,Mock,0
DR_20221209_143805,5,24,48,PC,Mock,0
DR_20221209_143805,6,1,48,NC,MOI 2,0
DR_20221209_143805,6,2,48,NC,MOI 2,0
DR_20221209_143805,6,3,48,treatment,Pralatrexate,8
DR_20221209_143805,6,4,48,treatment,Pralatrexate,2.6667
DR_20221209_143805,6,5,48,treatment,Pralatrexate,0.8889
DR_20221209_143805,6,6,48,treatment,Pralatrexate,0.2963
DR_20221209_143805,6,7,48,treatment,Pralatrexate,0.0988
DR_20221209_143805,6,8,48,treatment,Pralatrexate,0.0329
DR_20221209_143805,6,9,48,treatment,Pralatrexate,0.011
DR_20221209_143805,6,10,48,treatment,Pralatrexate,0.0037
DR_20221209_143805,6,11,48,treatment,Pralatrexate,0.0012
DR_20221209_143805,6,12,48,treatment,Pralatrexate,0.0004
DR_20221209_143805,6,13,48,treatment,GW4064,8
DR_20221209_143805,6,14,48,treatment,GW4064,2.6667
DR_20221209_143805,6,15,48,treatment,GW4064,0.8889
DR_20221209_143805,6,16,48,treatment,GW4064,0.2963
DR_20221209_143805,6,17,48,treatment,GW4064,0.0988
DR_20221209_143805,6,18,48,treatment,GW4064,0.0329
DR_20221209_143805,6,19,48,treatment,GW4064,0.011
DR_20221209_143805,6,20,48,treatment,GW4064,0.0037
DR_20221209_143805,6,21,48,treatment,GW4064,0.0012
DR_20221209_143805,6,22,48,treatment,GW4064,0.0004
DR_20221209_143805,6,23,48,PC,Mock,0
DR_20221209_143805,6,24,48,PC,Mock,0
DR_20221209_143805,7,1,48,NC,MOI 2,0
DR_20221209_143805,7,2,48,NC,MOI 2,0
DR_20221209_143805,7,3,48,treatment,SB 271046,8
DR_20221209_143805,7,4,48,treatment,SB 271046,2.6667
DR_20221209_143805,7,5,48,treatment,SB 271046,0.8889
DR_20221209_143805,7,6,48,treatment,SB 271046,0.2963
DR_20221209_143805,7,7,48,treatment,SB 271046,0.0988
DR_20221209_143805,7,8,48,treatment,SB 271046,0.0329
DR_20221209_143805,7,9,48,treatment,SB 271046,0.011
DR_20221209_143805,7,10,48,treatment,SB 271046,0.0037
DR_20221209_143805,7,11,48,treatment,SB 271046,0.0012
DR_20221209_143805,7,12,48,treatment,SB 271046,0.0004
DR_20221209_143805,7,13,48,treatment,Z-FA-FMK,8
DR_20221209_143805,7,14,48,treatment,Z-FA-FMK,2.6667
DR_20221209_143805,7,15,48,treatment,Z-FA-FMK,0.8889
DR_20221209_143805,7,16,48,treatment,Z-FA-FMK,0.2963
DR_20221209_143805,7,17,48,treatment,Z-FA-FMK,0.0988
DR_20221209_143805,7,18,48,treatment,Z-FA-FMK,0.0329
DR_20221209_143805,7,19,48,treatment,Z-FA-FMK,0.011
DR_20221209_143805,7,20,48,treatment,Z-FA-FMK,0.0037
DR_20221209_143805,7,21,48,treatment,Z-FA-FMK,0.0012
DR_20221209_143805,7,22,48,treatment,Z-FA-FMK,0.0004
DR_20221209_143805,7,23,48,PC,Mock,0
DR_20221209_143805,7,24,48,PC,Mock,0
DR_20221209_143805,8,1,48,NC,MOI 2,0
DR_20221209_143805,8,2,48,NC,MOI 2,0
DR_20221209_143805,8,3,48,treatment,SB 271046,8
DR_20221209_143805,8,4,48,treatment,SB 271046,2.6667
DR_20221209_143805,8,5,48,treatment,SB 271046,0.8889
DR_20221209_143805,8,6,48,treatment,SB 271046,0.2963
DR_20221209_143805,8,7,48,treatment,SB 271046,0.0988
DR_20221209_143805,8,8,48,treatment,SB 271046,0.0329
DR_20221209_143805,8,9,48,treatment,SB 271046,0.011
DR_20221209_143805,8,10,48,treatment,SB 271046,0.0037
DR_20221209_143805,8,11,48,treatment,SB 271046,0.0012
DR_20221209_143805,8,12,48,treatment,SB 271046,0.0004
DR_20221209_143805,8,13,48,treatment,Z-FA-FMK,8
DR_20221209_143805,8,14,48,treatment,Z-FA-FMK,2.6667
DR_20221209_143805,8,15,48,treatment,Z-FA-FMK,0.8889
DR_20221209_143805,8,16,48,treatment,Z-FA-FMK,0.2963
DR_20221209_143805,8,17,48,treatment,Z-FA-FMK,0.0988
DR_20221209_143805,8,18,48,treatment,Z-FA-FMK,0.0329
DR_20221209_143805,8,19,48,treatment,Z-FA-FMK,0.011
DR_20221209_143805,8,20,48,treatment,Z-FA-FMK,0.0037
DR_20221209_143805,8,21,48,treatment,Z-FA-FMK,0.0012
DR_20221209_143805,8,22,48,treatment,Z-FA-FMK,0.0004
DR_20221209_143805,8,23,48,PC,Mock,0
DR_20221209_143805,8,24,48,PC,Mock,0
DR_20221209_143805,9,1,48,NC,MOI 2,0
DR_20221209_143805,9,2,48,NC,MOI 2,0
DR_20221209_143805,9,3,48,treatment,SB 271046,8
DR_20221209_143805,9,4,48,treatment,SB 271046,2.6667
DR_20221209_143805,9,5,48,treatment,SB 271046,0.8889
DR_20221209_143805,9,6,48,treatment,SB 271046,0.2963
DR_20221209_143805,9,7,48,treatment,SB 271046,0.0988
DR_20221209_143805,9,8,48,treatment,SB 271046,0.0329
DR_20221209_143805,9,9,48,treatment,SB 271046,0.011
DR_20221209_143805,9,10,48,treatment,SB 271046,0.0037
DR_20221209_143805,9,11,48,treatment,SB 271046,0.0012
DR_20221209_143805,9,12,48,treatment,SB 271046,0.0004
DR_20221209_143805,9,13,48,treatment,Z-FA-FMK,8
DR_20221209_143805,9,14,48,treatment,Z-FA-FMK,2.6667
DR_20221209_143805,9,15,48,treatment,Z-FA-FMK,0.8889
DR_20221209_143805,9,16,48,treatment,Z-FA-FMK,0.2963
DR_20221209_143805,9,17,48,treatment,Z-FA-FMK,0.0988
DR_20221209_143805,9,18,48,treatment,Z-FA-FMK,0.0329
DR_20221209_143805,9,19,48,treatment,Z-FA-FMK,0.011
DR_20221209_143805,9,20,48,treatment,Z-FA-FMK,0.0037
DR_20221209_143805,9,21,48,treatment,Z-FA-FMK,0.0012
DR_20221209_143805,9,22,48,treatment,Z-FA-FMK,0.0004
DR_20221209_143805,9,23,48,PC,Mock,0
DR_20221209_143805,9,24,48,PC,Mock,0
DR_20221209_143805,10,1,48,NC,MOI 2,0
DR_20221209_143805,10,2,48,NC,MOI 2,0
DR_20221209_143805,10,3,48,treatment,IMD 0354,8
DR_20221209_143805,10,4,48,treatment,IMD 0354,2.6667
DR_20221209_143805,10,5,48,treatment,IMD 0354,0.8889
DR_20221209_143805,10,6,48,treatment,IMD 0354,0.2963
DR_20221209_143805,10,7,48,treatment,IMD 0354,0.0988
DR_20221209_143805,10,8,48,treatment,IMD 0354,0.0329
DR_20221209_143805,10,9,48,treatment,IMD 0354,0.011
DR_20221209_143805,10,10,48,treatment,IMD 0354,0.0037
DR_20221209_143805,10,11,48,treatment,IMD 0354,0.0012
DR_20221209_143805,10,12,48,treatment,IMD 0354,0.0004
DR_20221209_143805,10,13,48,treatment,remdesivir,8
DR_20221209_143805,10,14,48,treatment,remdesivir,2.6667
DR_20221209_143805,10,15,48,treatment,remdesivir,0.8889
DR_20221209_143805,10,16,48,treatment,remdesivir,0.2963
DR_20221209_143805,10,17,48,treatment,remdesivir,0.0988
DR_20221209_143805,10,18,48,treatment,remdesivir,0.0329
DR_20221209_143805,10,19,48,treatment,remdesivir,0.011
DR_20221209_143805,10,20,48,treatment,remdesivir,0.0037
DR_20221209_143805,10,21,48,treatment,remdesivir,0.0012
DR_20221209_143805,10,22,48,treatment,remdesivir,0.0004
DR_20221209_143805,10,23,48,PC,Mock,0
DR_20221209_143805,10,24,48,PC,Mock,0
DR_20221209_143805,11,1,48,NC,MOI 2,0
DR_20221209_143805,11,2,48,NC,MOI 2,0
DR_20221209_143805,11,3,48,treatment,IMD 0354,8
DR_20221209_143805,11,4,48,treatment,IMD 0354,2.6667
DR_20221209_143805,11,5,48,treatment,IMD 0354,0.8889
DR_20221209_143805,11,6,48,treatment,IMD 0354,0.2963
DR_20221209_143805,11,7,48,treatment,IMD 0354,0.0988
DR_20221209_143805,11,8,48,treatment,IMD 0354,0.0329
DR_20221209_143805,11,9,48,treatment,IMD 0354,0.011
DR_20221209_143805,11,10,48,treatment,IMD 0354,0.0037
DR_20221209_143805,11,11,48,treatment,IMD 0354,0.0012
DR_20221209_143805,11,12,48,treatment,IMD 0354,0.0004
DR_20221209_143805,11,13,48,treatment,remdesivir,8
DR_20221209_143805,11,14,48,treatment,remdesivir,2.6667
DR_20221209_143805,11,15,48,treatment,remdesivir,0.8889
DR_20221209_143805,11,16,48,treatment,remdesivir,0.2963
DR_20221209_143805,11,17,48,treatment,remdesivir,0.0988
DR_20221209_143805,11,18,48,treatment,remdesivir,0.0329
DR_20221209_143805,11,19,48,treatment,remdesivir,0.011
DR_20221209_143805,11,20,48,treatment,remdesivir,0.0037
DR_20221209_143805,11,21,48,treatment,remdesivir,0.0012
DR_20221209_143805,11,22,48,treatment,remdesivir,0.0004
DR_20221209_143805,11,23,48,PC,Mock,0
DR_20221209_143805,11,24,48,PC,Mock,0
DR_20221209_143805,12,1,48,NC,MOI 2,0
DR_20221209_143805,12,2,48,NC,MOI 2,0
DR_20221209_143805,12,3,48,treatment,IMD 0354,8
DR_20221209_143805,12,4,48,treatment,IMD 0354,2.6667
DR_20221209_143805,12,5,48,treatment,IMD 0354,0.8889
DR_20221209_143805,12,6,48,treatment,IMD 0354,0.2963
DR_20221209_143805,12,7,48,treatment,IMD 0354,0.0988
DR_20221209_143805,12,8,48,treatment,IMD 0354,0.0329
DR_20221209_143805,12,9,48,treatment,IMD 0354,0.011
DR_20221209_143805,12,10,48,treatment,IMD 0354,0.0037
DR_20221209_143805,12,11,48,treatment,IMD 0354,0.0012
DR_20221209_143805,12,12,48,treatment,IMD 0354,0.0004
DR_20221209_143805,12,13,48,treatment,remdesivir,8
DR_20221209_143805,12,14,48,treatment,remdesivir,2.6667
DR_20221209_143805,12,15,48,treatment,remdesivir,0.8889
DR_20221209_143805,12,16,48,treatment,remdesivir,0.2963
DR_20221209_143805,12,17,48,treatment,remdesivir,0.0988
DR_20221209_143805,12,18,48,treatment,remdesivir,0.0329
DR_20221209_143805,12,19,48,treatment,remdesivir,0.011
DR_20221209_143805,12,20,48,treatment,remdesivir,0.0037
DR_20221209_143805,12,21,48,treatment,remdesivir,0.0012
DR_20221209_143805,12,22,48,treatment,remdesivir,0.0004
DR_20221209_143805,12,23,48,PC,Mock,0
DR_20221209_143805,12,24,48,PC,Mock,0
DR_20221209_143805,13,1,48,NC,MOI 2,0
DR_20221209_143805,13,2,48,NC,MOI 2,0
DR_20221209_143805,13,3,48,treatment,LY411575,8
DR_20221209_143805,13,4,48,treatment,LY411575,2.6667
DR_20221209_143805,13,5,48,treatment,LY411575,0.8889
DR_20221209_143805,13,6,48,treatment,LY411575,0.2963
DR_20221209_143805,13,7,48,treatment,LY411575,0.0988
DR_20221209_143805,13,8,48,treatment,LY411575,0.0329
DR_20221209_143805,13,9,48,treatment,LY411575,0.011
DR_20221209_143805,13,10,48,treatment,LY411575,0.0037
DR_20221209_143805,13,11,48,treatment,LY411575,0.0012
DR_20221209_143805,13,12,48,treatment,LY411575,0.0004
DR_20221209_143805,13,13,48,BLANK,BLANK,0
DR_20221209_143805,13,14,48,BLANK,BLANK,0
DR_20221209_143805,13,15,48,BLANK,BLANK,0
DR_20221209_143805,13,16,48,BLANK,BLANK,0
DR_20221209_143805,13,17,48,BLANK,BLANK,0
DR_20221209_143805,13,18,48,BLANK,BLANK,0
DR_20221209_143805,13,19,48,BLANK,BLANK,0
DR_20221209_143805,13,20,48,BLANK,BLANK,0
DR_20221209_143805,13,21,48,BLANK,BLANK,0
DR_20221209_143805,13,22,48,BLANK,BLANK,0
DR_20221209_143805,13,23,48,PC,Mock,0
DR_20221209_143805,13,24,48,PC,Mock,0
DR_20221209_143805,14,1,48,NC,MOI 2,0
DR_20221209_143805,14,2,48,NC,MOI 2,0
DR_20221209_143805,14,3,48,treatment,LY411575,8
DR_20221209_143805,14,4,48,treatment,LY411575,2.6667
DR_20221209_143805,14,5,48,treatment,LY411575,0.8889
DR_20221209_143805,14,6,48,treatment,LY411575,0.2963
DR_20221209_143805,14,7,48,treatment,LY411575,0.0988
DR_20221209_143805,14,8,48,treatment,LY411575,0.0329
DR_20221209_143805,14,9,48,treatment,LY411575,0.011
DR_20221209_143805,14,10,48,treatment,LY411575,0.0037
DR_20221209_143805,14,11,48,treatment,LY411575,0.0012
DR_20221209_143805,14,12,48,treatment,LY411575,0.0004
DR_20221209_143805,14,13,48,BLANK,BLANK,0
DR_20221209_143805,14,14,48,BLANK,BLANK,0
DR_20221209_143805,14,15,48,BLANK,BLANK,0
DR_20221209_143805,14,16,48,BLANK,BLANK,0
DR_20221209_143805,14,17,48,BLANK,BLANK,0
DR_20221209_143805,14,18,48,BLANK,BLANK,0
DR_20221209_143805,14,19,48,BLANK,BLANK,0
DR_20221209_143805,14,20,48,BLANK,BLANK,0
DR_20221209_143805,14,21,48,BLANK,BLANK,0
DR_20221209_143805,14,22,48,BLANK,BLANK,0
DR_20221209_143805,14,23,48,PC,Mock,0
DR_20221209_143805,14,24,48,PC,Mock,0
DR_20221209_143805,15,1,48,NC,MOI 2,0
DR_20221209_143805,15,2,48,NC,MOI 2,0
DR_20221209_143805,15,3,48,treatment,LY411575,8
DR_20221209_143805,15,4,48,treatment,LY411575,2.6667
DR_20221209_143805,15,5,48,treatment,LY411575,0.8889
DR_20221209_143805,15,6,48,treatment,LY411575,0.2963
DR_20221209_143805,15,7,48,treatment,LY411575,0.0988
DR_20221209_143805,15,8,48,treatment,LY411575,0.0329
DR_20221209_143805,15,9,48,treatment,LY411575,0.011
DR_20221209_143805,15,10,48,treatment,LY411575,0.0037
DR_20221209_143805,15,11,48,treatment,LY411575,0.0012
DR_20221209_143805,15,12,48,treatment,LY411575,0.0004
DR_20221209_143805,15,13,48,BLANK,BLANK,0
DR_20221209_143805,15,14,48,BLANK,BLANK,0
DR_20221209_143805,15,15,48,BLANK,BLANK,0
DR_20221209_143805,15,16,48,BLANK,BLANK,0
DR_20221209_143805,15,17,48,BLANK,BLANK,0
DR_20221209_143805,15,18,48,BLANK,BLANK,0
DR_20221209_143805,15,19,48,BLANK,BLANK,0
DR_20221209_143805,15,20,48,BLANK,BLANK,0
DR_20221209_143805,15,21,48,BLANK,BLANK,0
DR_20221209_143805,15,22,48,BLANK,BLANK,0
DR_20221209_143805,15,23,48,PC,Mock,0
DR_20221209_143805,15,24,48,PC,Mock,0
DR_20221209_143805,16,1,48,NC,MOI 2,0
DR_20221209_143805,16,2,48,NC,MOI 2,0
DR_20221209_143805,16,3,48,BLANK,,
DR_20221209_143805,16,4,48,BLANK,,
DR_20221209_143805,16,5,48,BLANK,,
DR_20221209_143805,16,6,48,BLANK,,
DR_20221209_143805,16,7,48,BLANK,,
DR_20221209_143805,16,8,48,BLANK,,
DR_20221209_143805,16,9,48,BLANK,,
DR_20221209_143805,16,10,48,BLANK,,
DR_20221209_143805,16,11,48,BLANK,,
DR_20221209_143805,16,12,48,BLANK,,
DR_20221209_143805,16,13,48,BLANK,,
DR_20221209_143805,16,14,48,BLANK,,
DR_20221209_143805,16,15,48,BLANK,,
DR_20221209_143805,16,16,48,BLANK,,
DR_20221209_143805,16,17,48,BLANK,,
DR_20221209_143805,16,18,48,BLANK,,
DR_20221209_143805,16,19,48,BLANK,,
DR_20221209_143805,16,20,48,BLANK,,
DR_20221209_143805,16,21,48,BLANK,,
DR_20221209_143805,16,22,48,BLANK,,
DR_20221209_143805,16,23,48,PC,Mock,
DR_20221209_143805,16,24,48,PC,Mock,
